,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
DWD,DWD,ORG,-0.23017241379310335,0.037356321839080456,de,58,,,,,,
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.17355072463768115,0.06159420289855073,de,46,,,,,,
ntv.de,ntv.de,ORG,0.0,0.0,de,17,,,,,,
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.06444444444444443,0.02222222222222222,de,15,,,,,,
lby,lby,ORG,0.1476190476190476,0.0,de,7,,,,,,
Deutschem Wetterdienst,Deutschem Wetterdienst,ORG,-0.32857142857142857,0.0,de,7,,,,,,
lhe,lhe,ORG,-0.06111111111111111,0.27777777777777773,de,6,,,,,,
Liveticker Hessen & Frankfurt,Liveticker Hessen & Frankfurt,ORG,-0.2,0.0,de,5,,,,,,
Sichtweiten,Sichtweiten,ORG,-0.175,0.0,de,4,,,,,,
ADAC,ADAC,ORG,-0.175,0.08333333333333333,de,4,,,,,,
lnw,lnw,ORG,-0.2333333333333333,0.0,de,3,,,,,,
SPD,SPD,ORG,0.0,0.0,de,3,,,,,,
Essen,Essen,ORG,-0.2333333333333333,0.0,de,3,,,,,,
Neue Woche,Neue Woche,ORG,1.0,0.0,de,3,,,,,,
Ferrari,Ferrari,ORG,-1.0,0.0,de,3,,,,,,
EU,EU,ORG,0.0,0.0,de,3,,,,,,
Berlin/Potsdam,Berlin/Potsdam,ORG,0.15000000000000002,0.0,de,2,,,,,,
Frankfurt,Frankfurt,ORG,-1.0,0.0,de,2,,,,,,
Hessen Wiesbaden,Hessen Wiesbaden,ORG,-1.0,0.0,de,2,,,,,,
Garagenbrand +++ Frankfurt,Garagenbrand +++ Frankfurt,ORG,-1.0,0.0,de,2,,,,,,
Verfolgungsfahrt +++ Liveblog,Verfolgungsfahrt +++ Liveblog,ORG,-1.0,0.0,de,2,,,,,,
Verkehrsclub Österreich,Verkehrsclub Österreich,ORG,-0.35,0.0,de,2,,,,,,
Raubtiers,Raubtiers,ORG,0.0,0.0,de,2,,,,,,
VCÖ,VCÖ,ORG,-0.35,0.0,de,2,,,,,,
Wetter-Vorhersage,Wetter-Vorhersage,ORG,-0.7,0.0,de,2,,,,,,
Deutschen Wetterdienst,Deutschen Wetterdienst,ORG,0.575,0.0,de,2,,,,,,
NRW,NRW,ORG,-0.2333333333333333,0.0,de,1,,,,,,
Handy-Standortdaten,Handy-Standortdaten,ORG,0.0,0.0,de,1,,,,,,
…,…,ORG,0.0,0.0,de,1,,,,,,
DWD…,DWD…,ORG,0.0,0.0,de,1,,,,,,
Spurensicherungsmaßnahmen…,Spurensicherungsmaßnahmen…,ORG,0.0,0.0,de,1,,,,,,
Schmuddelwetter,Schmuddelwetter,ORG,-0.7,0.0,de,1,,,,,,
NATO,NATO,ORG,0.0,0.0,de,1,,,,,,
Spionage-Gefahr,Spionage-Gefahr,ORG,0.0,0.0,de,1,,,,,,
Zeit für ein CPU Upgrade,Zeit für ein CPU Upgrade,ORG,0.7,0.0,de,1,,,,,,
Databroker Files,Databroker Files,ORG,0.0,0.0,de,1,,,,,,
Der Deutsche Wetterdienst,Der Deutsche Wetterdienst,ORG,0.0,0.0,de,1,,,,,,
H…,H…,ORG,0.0,0.0,de,1,,,,,,
Telegram…,Telegram…,ORG,0.0,0.0,de,1,,,,,,
Saporischschja +++,Saporischschja +++,ORG,0.0,0.0,de,1,,,,,,
speziel…,speziel…,ORG,0.7,0.0,de,1,,,,,,
CPU-Bundle,CPU-Bundle,ORG,0.0,0.0,de,1,,,,,,
AMD-Dominanz,AMD-Dominanz,ORG,0.5,0.0,de,1,,,,,,
Intel,Intel,ORG,0.5,0.0,de,1,,,,,,
Patriot-Luftabwehr,Patriot-Luftabwehr,ORG,0.0,0.0,de,1,,,,,,
Bra…,Bra…,ORG,0.0,0.0,de,1,,,,,,
D…,D…,ORG,0.0,0.0,de,1,,,,,,
Hessen,Hessen,ORG,-1.0,0.0,de,1,,,,,,
Hessen +++,Hessen +++,ORG,-1.0,0.0,de,1,,,,,,
ei…,ei…,ORG,1.0,0.0,de,1,,,,,,
DW…,DW…,ORG,0.0,0.0,de,1,,,,,,
lrs,lrs,ORG,0.0,0.0,de,1,,,,,,
Die neue Woche,Die neue Woche,ORG,0.0,0.0,de,1,,,,,,
Begin…,Begin…,ORG,0.0,0.0,de,1,,,,,,
bb,bb,ORG,-0.7,0.0,de,1,,,,,,
Sonnenschein…,Sonnenschein…,ORG,0.0,0.0,de,1,,,,,,
Bunte Blätter,Bunte Blätter,ORG,0.9,0.0,de,1,,,,,,
e…,e…,ORG,0.0,0.0,de,1,,,,,,
Deutschland,Deutschland,ORG,0.7,0.0,de,1,,,,,,
ABC News,ABC News,ORG,0.0,0.0,de,1,,,,,,
Allgemeine Deutsche Automobil-Club,Allgemeine Deutsche Automobil-Club,ORG,0.0,0.0,de,1,,,,,,
Krankenhaus +++ Regen,Krankenhaus +++ Regen,ORG,-1.0,0.0,de,1,,,,,,
Deutschen Wetterdiensts,Deutschen Wetterdiensts,ORG,0.0,0.0,de,1,,,,,,
Herbstli…,Herbstli…,ORG,0.0,0.0,de,1,,,,,,
"Link
","Link
",ORG,0.0,0.0,de,1,,,,,,
Deutsc…,Deutsc…,ORG,0.0,0.0,de,1,,,,,,
Nebel ode,Nebel ode,ORG,0.0,0.0,de,1,,,,,,
München,München,ORG,0.7,0.0,de,1,,,,,,
Riederwald +++ Liveblog,Riederwald +++ Liveblog,ORG,-1.0,0.0,de,1,,,,,,
Hessen Frankfurt,Hessen Frankfurt,ORG,-1.0,0.0,de,1,,,,,,
Deutsche…,Deutsche…,ORG,0.0,0.0,de,1,,,,,,
Goethe-Universität,Goethe-Universität,ORG,0.0,0.0,de,1,,,,,,
regne…,regne…,ORG,0.0,0.0,de,1,,,,,,
Minister Gremmels,Minister Gremmels,ORG,0.0,0.0,de,1,,,,,,
Deutsche …,Deutsche …,ORG,0.7,0.0,de,1,,,,,,
Löffler-Institut,Löffler-Institut,ORG,0.7,0.0,de,1,,,,,,
Nebel,Nebel,ORG,-1.0,0.0,de,1,,,,,,
Ukraine-Krieg +++,Ukraine-Krieg +++,ORG,0.0,0.0,de,1,,,,,,
Deutsche Wetterdienst für Baden-Württemberg,Deutsche Wetterdienst für Baden-Württemberg,ORG,0.0,0.0,de,1,,,,,,
Grenzfluss +++,Grenzfluss +++,ORG,0.0,0.0,de,1,,,,,,
AFP,AFP,ORG,0.0,0.0,de,1,,,,,,
ty…,ty…,ORG,0.0,0.0,de,1,,,,,,
Odessa +++,Odessa +++,ORG,0.0,0.0,de,1,,,,,,
Airports,Airports,ORG,0.0,0.0,de,1,,,,,,
Belgorod +++,Belgorod +++,ORG,0.0,0.0,de,1,,,,,,
ukrainischen Streitkräfte,ukrainischen Streitkräfte,ORG,0.0,0.0,de,1,,,,,,
russische Streitkräfte,russische Streitkräfte,ORG,0.0,0.0,de,1,,,,,,
ukrainische Luftwaffe,ukrainische Luftwaffe,ORG,0.7,0.0,de,1,,,,,,
Nebel schrä,Nebel schrä,ORG,0.0,0.0,de,1,,,,,,
Reg…,Reg…,ORG,0.0,0.0,de,1,,,,,,
russische Armee,russische Armee,ORG,0.0,0.0,de,1,,,,,,
ukrainische Marine,ukrainische Marine,ORG,0.0,0.0,de,1,,,,,,
Russland,Russland,ORG,0.0,0.0,de,1,,,,,,
